API_Num,UTM_X,UTM_Y,  Long_X,  Lat_Y,SP_Top_ft
1.21413E+11,317426.6498,4669327.96,-89.209832,42.154806,657.8714895
1.21413E+11,318339.9402,4665822.737,-89.197694,42.123472,635.9490157
1.21413E+11,318795.8665,4666221.578,-89.192306,42.127167,631.7154199
1.21413E+11,318225.1457,4666520.262,-89.199299,42.129723,663.4517717
1.21413E+11,320117.9122,4665804.974,-89.176194,42.123722,564.7593176
1.21413E+11,320765.3555,4665242.28,-89.168194,42.118806,567.631332
1.21413E+11,320487.4206,4665428.232,-89.171611,42.120416,575.653937
1.21413E+11,308529.5495,4665032.643,-89.316028,42.114028,652.1298228
1.21413E+11,311169.3451,4666202.302,-89.2845,42.125194,632.3770997
1.21413E+11,315827.7966,4671690.546,-89.229917,42.175694,530.6173885
1.21413E+11,317583.1106,4670852.847,-89.208417,42.168566,542.7347113
1.21413E+11,317415.3015,4670485.625,-89.210332,42.165222,680.6751312
1.21413E+11,317110.0428,4669428.725,-89.213693,42.155639,666.9352362
1.21413E+11,317885.0485,4669146.765,-89.204231,42.153282,655.7373688
1.21413E+11,316979.8126,4669549.22,-89.215306,42.156693,650.8011811
1.21413E+11,317389.0829,4669390.601,-89.210306,42.155361,654.9078412
1.21413E+11,319086.36,4666615.352,-89.188916,42.130778,626.8592848
1.21413E+11,315156.0209,4667785.163,-89.236806,42.140389,573.2223425
1.21413E+11,315704.3226,4667314.017,-89.230027,42.136278,664.5922572
1.21413E+11,315826.26,4667359.612,-89.228567,42.136717,629.3457677
1.21413E+11,313836.5734,4667309.502,-89.252609,42.135796,611.3660761
1.21413E+11,318848.1756,4666377.57,-89.191722,42.128583,636.4830052
1.21413E+11,318318.5462,4665884.955,-89.197972,42.124027,635.0762467
1.21413E+11,320995.5071,4665419.106,-89.165466,42.12045,557.274147
1.21413E+11,321053.2725,4665361.419,-89.16475,42.119944,568.6395341
1.21413E+11,320829.4318,4665234.431,-89.167417,42.11875,568.4129921
1.21413E+11,321067.7517,4665296.275,-89.164555,42.119361,563.5552822
1.21413E+11,314537.2556,4664341.233,-89.243194,42.109249,660.5642717
1.21413E+11,309407.9232,4672645.397,-89.3079,42.18275,521.0815289
1.21413E+11,309914.412,4665248.351,-89.29936,42.116306,680.7029199
1.21413E+11,313403.7163,4668323.223,-89.258167,42.144816,660.5053806
1.21413E+11,313836.3795,4668702.589,-89.253056,42.148333,681.7388451
1.21413E+11,314259.1893,4668358.087,-89.247833,42.145333,670.0485892
1.21413E+11,317459.3396,4669265.334,-89.209417,42.15425,665.9714567
1.21413E+11,313367.3323,4667554.471,-89.258361,42.137889,643.6965879
1.21413E+11,314151.7982,4668468.922,-89.249167,42.146305,685.425
